__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 10:03:05,451 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: ses
2026-08-16 10:03:06,529 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-16 10:03:06,591 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[stazione-ses-alerts-in]
2026-08-16 10:03:06,718 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:03:06,860 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:03:06,874 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 1.
2026-08-16 10:03:06,885 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/station/+/validation-response, Max QoS 0.
2026-08-16 10:03:06,886 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/passaggio, Max QoS 0.
2026-08-16 10:03:06,895 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[stazione-ses-alerts-out]
2026-08-16 10:03:06,901 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:03:06,932 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-1) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-16 10:03:07,002 INFO  [io.quarkus] (main) stazione 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 1.708s. Listening on: http://0.0.0.0:8083
2026-08-16 10:03:07,002 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-16 10:03:07,003 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-16 10:03:07,025 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID stazione 'ses' nel database centrale...
2026-08-16 10:03:07,162 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: ses
2026-08-16 10:03:07,163 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-16 10:03:07,186 ERROR [it.uni.reti2.StationDatabaseValidator] (vert.x-eventloop-thread-2) ❌ L'ID 'ses' non è presente nel database centrale: la stazione non è registrata.
2026-08-16 10:03:12,163 ERROR [it.uni.reti2.main] (main) ❌ ERRORE FATALE: ID della stazione non presente nel database centrale. Il processo verrà terminato.
2026-08-16 10:03:12,193 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 10:03:12,195 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 10:03:12,195 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 10:03:12,201 INFO  [io.quarkus] (main) stazione stopped in 0.037s
