__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-15 13:17:04,761 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: stazzaDellaMadonnaTroia
2026-08-15 13:17:06,324 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-15 13:17:06,634 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-15 13:17:06,874 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/station/+/validation-response, Max QoS 0.
2026-08-15 13:17:06,875 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 0.
2026-08-15 13:17:06,875 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/passaggio, Max QoS 0.
2026-08-15 13:17:06,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-1) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:06,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:07,070 INFO  [io.quarkus] (main) stazione 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 2.518s. Listening on: http://0.0.0.0:8083
2026-08-15 13:17:07,071 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-15 13:17:07,071 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-15 13:17:07,092 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID stazione 'stazzaDellaMadonnaTroia' nel database centrale...
2026-08-15 13:17:07,182 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:17:07,183 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:12,183 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:16,961 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-1) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:16,962 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:17,184 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:22,186 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:17:22,186 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:26,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:26,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:27,186 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:32,187 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:36,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:36,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:37,188 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:17:37,189 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:42,189 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:46,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:46,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:47,190 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:52,200 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:17:52,201 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:17:56,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:56,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:17:57,201 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:02,202 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:06,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:06,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:07,204 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:18:07,204 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:12,205 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:16,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:16,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:17,205 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:22,207 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:18:22,207 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:26,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:26,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:27,208 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:32,208 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:36,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:36,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:37,209 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:18:37,210 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:42,210 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:46,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:46,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:47,210 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:52,212 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:18:52,212 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:18:56,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:56,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:18:57,212 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:02,213 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:06,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:06,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:07,215 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:19:07,215 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:12,215 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:16,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:16,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:17,216 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:22,217 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:19:22,218 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:26,725 WARN  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-1) 🚨 [ALERT RICEVUTO] La Centrale dice: {"tipoEvento":"STOP","target":"TRENO_TEST_fd1b","motivo":"Soppresso da operatore","timestamp":"2026-08-15T11:19:26.686794182Z"}
2026-08-15 13:19:26,833 WARN  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-1) 🚨 [ALERT RICEVUTO] La Centrale dice: {"tipoEvento":"STOP","target":"TRENO_TEST_fd1b","motivo":"Treno eliminato da operatore","timestamp":"2026-08-15T11:19:26.831164513Z"}
2026-08-15 13:19:26,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:26,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:27,218 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:32,219 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:36,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:36,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:37,220 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:19:37,220 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:42,221 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:46,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:46,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:47,221 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:52,223 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:19:52,223 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:19:56,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:56,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:19:57,223 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:20:02,224 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-15 13:20:06,958 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:20:06,960 WARN  [it.uni.reti2.HeartbeatGenerator] (executor-thread-2) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-15 13:20:07,225 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: stazzaDellaMadonnaTroia
2026-08-15 13:20:07,226 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
