__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 10:52:03,706 INFO  [it.uni.reti2.main] (main) 🚉 Avvio processo Stazione con ID: TO
2026-08-16 10:52:05,341 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-16 10:52:05,406 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[stazione-TO-alerts-in]
2026-08-16 10:52:05,751 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:52:05,861 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[stazione-TO-alerts-out]
2026-08-16 10:52:05,899 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:52:05,926 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 1.
2026-08-16 10:52:05,927 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 10:52:05,933 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/station/+/validation-response, Max QoS 0.
2026-08-16 10:52:05,934 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/passaggio, Max QoS 0.
2026-08-16 10:52:05,935 WARN  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) ⏳ Stazione non ancora validata dalla Centrale: heartbeat sospeso.
2026-08-16 10:52:06,113 INFO  [io.quarkus] (main) stazione 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 2.622s. Listening on: http://0.0.0.0:8084
2026-08-16 10:52:06,114 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-16 10:52:06,114 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-16 10:52:06,139 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID stazione 'TO' nel database centrale...
2026-08-16 10:52:06,224 INFO  [it.uni.reti2.StationDatabaseValidator] (main) 📩 Richiesta di validazione inviata per la stazione: TO
2026-08-16 10:52:06,224 WARN  [it.uni.reti2.main] (main) ID stazione non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-16 10:52:06,274 INFO  [it.uni.reti2.StationDatabaseValidator] (vert.x-eventloop-thread-1) 🚉 Processo associato con successo alla chiave primaria del database: TO
2026-08-16 10:52:11,225 INFO  [it.uni.reti2.main] (main) ✅ Processo Stazione AVVIATO CORRETTAMENTE
2026-08-16 10:52:11,225 INFO  [it.uni.reti2.main] (main) 🔄 Ingresso nel ciclo infinito di mantenimento del nodo Stazione...
2026-08-16 10:52:11,226 INFO  [it.uni.reti2.main] (main) 🌐 Server REST disponibile su http://localhost:8081/stazione/info
2026-08-16 10:52:15,939 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:52:15.938279082Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:52:15,983 WARN  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-3) 🚨 [ALERT RICEVUTO] La Centrale dice: {"tipoEvento":"RESOLVED","origine":"CENTRALE","sorgenteTipo":"STAZIONE","sorgenteId":"PA","guastoId":"alert-1786870294642-fae82e0e","timestamp":"2026-08-16T08:52:15.979356423Z"}
2026-08-16 10:52:16,116 WARN  [it.uni.reti2.StationGateway] (vert.x-eventloop-thread-3) 🚨 [ALERT RICEVUTO] La Centrale dice: {"tipoEvento":"RESOLVED","origine":"CENTRALE","sorgenteTipo":"STAZIONE","sorgenteId":"MI","guastoId":"alert-1786870294653-d8ec0b27","timestamp":"2026-08-16T08:52:16.112654308Z"}
2026-08-16 10:52:25,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:52:25.942826948Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:52:35,934 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:52:35.934148749Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:52:45,935 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:52:45.934865845Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:52:55,938 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:52:55.938446326Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:05,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:05.943470604Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:15,935 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:15.935760569Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:25.942682034Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:35,938 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:35.938524205Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:45,939 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:45.938831429Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:53:55,934 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:53:55.934721614Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:05,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:05.942691361Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:15.942684568Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:25,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:25.942752098Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:35,943 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:35.943123727Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:45,944 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:45.943828355Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:54:55,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:54:55.942704454Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:05,937 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:05.937289539Z","tipoEvento":"HEARTBEAT","bufferSize":0}
2026-08-16 10:55:15,942 INFO  [it.uni.reti2.HeartbeatGenerator] (vert.x-eventloop-thread-0) 💓 [HEARTBEAT] Invio heartbeat: {"stazioneId":"TO","stato":"ONLINE","timestamp":"2026-08-16T08:55:15.942433860Z","tipoEvento":"HEARTBEAT","bufferSize":0}
