__  ____  __  _____   ___  __ ____  ______ 
 --/ __ \/ / / / _ | / _ \/ //_/ / / / __/ 
 -/ /_/ / /_/ / __ |/ , _/ ,< / /_/ /\ \   
--\___\_\____/_/ |_/_/|_/_/|_|\____/___/   
2026-08-16 12:17:27,831 INFO  [it.uni.reti2.main] (main) 🚂 Avvio processo Treno con ID: tr-1785881140084
2026-08-16 12:17:28,511 INFO  [io.quarkus.scheduler.runtime.SimpleScheduler] (main) No scheduled business methods found - Simple scheduler will not be started
2026-08-16 12:17:28,558 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881140084-alerts-in]
2026-08-16 12:17:28,619 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[]
2026-08-16 12:17:28,754 INFO  [io.smallrye.reactive.messaging.mqtt] (main) Create MQTT Client for null@localhost:1883<>-[treno-tr-1785881140084-alerts-out]
2026-08-16 12:17:28,831 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:28,995 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:29,022 INFO  [io.vertx.mqtt.impl.MqttClientImpl] (vert.x-eventloop-thread-0) Connection with localhost:1883 established successfully
2026-08-16 12:17:29,028 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/alerts, Max QoS 1.
2026-08-16 12:17:29,042 INFO  [io.smallrye.reactive.messaging.mqtt] (vert.x-eventloop-thread-0) Subscription success on topic railway/train/+/validation-response, Max QoS 0.
2026-08-16 12:17:29,109 INFO  [it.uni.reti2.TrainJourneyEngine] (main) 🧭 [TWIN] Motore di viaggio avviato (sosta=2s, fattore=100x, autostart=true)
2026-08-16 12:17:29,196 INFO  [io.quarkus] (main) treno 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.37.3) started in 1.466s. Listening on: http://0.0.0.0:9083
2026-08-16 12:17:29,197 INFO  [io.quarkus] (main) Profile prod activated. 
2026-08-16 12:17:29,197 INFO  [io.quarkus] (main) Installed features: [cdi, messaging, messaging-mqtt, rest, rest-jackson, scheduler, smallrye-context-propagation, vertx]
2026-08-16 12:17:29,489 INFO  [it.uni.reti2.main] (main) 🔎 Verifica ID treno 'tr-1785881140084' nel database centrale...
2026-08-16 12:17:29,526 INFO  [it.uni.reti2.TrainDatabaseValidator] (main) 📩 Richiesta di validazione inviata per il treno: tr-1785881140084
2026-08-16 12:17:29,527 WARN  [it.uni.reti2.main] (main) ID treno non ancora valido o il database centrale non è raggiungibile; riprovo tra 5 secondi...
2026-08-16 12:17:29,530 ERROR [it.uni.reti2.TrainDatabaseValidator] (vert.x-eventloop-thread-2) ❌ L'ID 'tr-1785881140084' non è presente nel database centrale: il treno non è registrato.
2026-08-16 12:17:34,527 ERROR [it.uni.reti2.main] (main) ❌ ERRORE FATALE: ID del treno non presente nel database centrale. Il processo verrà terminato.
2026-08-16 12:17:34,540 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,541 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,542 INFO  [io.smallrye.reactive.messaging.mqtt.session.impl.MqttClientSessionImpl] (vert.x-eventloop-thread-0) Connection closed: <unknown>
2026-08-16 12:17:34,544 INFO  [io.quarkus] (main) treno stopped in 0.016s
